positions_id,positions_decoding,positions_name,positions_aliases,positions_category,positions_subcategory,positions_type,positions_variation,positions_direction,positions_configuration,positions_inclination
36,Sitting (Figure Four) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Figure Four Sitting,,Sitting,,Sitting,Figure Four,-,-,-
321,Firefly (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Firefly,"Tittibhasana, टिट्टिभासन",Balancing,,Firefly,-,-,-,-
359,Fish (-) ⟮-⟯ [-] ⟨-⟩ ⧼Reclining⧽,Fish,"Matsyasana, मत्स्यासन",Reclining,,Fish,-,-,-,-
173,Standing (-) ⟮-⟯ [Folded Arms] ⟨-⟩ ⧼Standing⧽,Folded Arms Standing,Action Pose,Standing,,,-,-,Folded Arms,-
332,Formidable (-) ⟮Supine⟯ [-] ⟨-⟩ ⧼Lying⧽,Formidable,"Bhairavasana, Ankushasana, भैरवासन, अण्कुशासन",Lying,,Formidable,-,Supine,-,-
25,Bent (-) ⟮Forward⟯ [-] ⟨-⟩ ⧼Bending⧽,Forward Bent,"Standing Forward Bend, Upright Forward Bend, Uttanasana, उत्तानासन",Bending,,Bent,-,Forward,-,-
4,Jumping (-) ⟮Forward⟯ [-] ⟨-⟩ ⧼Suspended⧽,Forward Jumping,Forward Jump,Suspended,,Jumping,-,Forward,-,-
167,Leaning (-) ⟮Forward⟯ [-] ⟨-⟩ ⧼Leaning⧽,Forward Leaning,,Leaning,,Leaning,-,Forward,-,-
114,Freefall (-) ⟮-⟯ [-] ⟨-⟩ ⧼Suspended⧽,Freefall,Free Fall,Suspended,,Freefall,-,-,-,-
333,Frog (-) ⟮Prone⟯ [-] ⟨-⟩ ⧼Lying⧽,Frog,"Bhekasana, भेकासन",Lying,,Frog,-,Prone,-,-
17,Split (-) ⟮Front⟯ [-] ⟨-⟩ ⧼Sitting⧽,Front Split,Hanumanasana,Sitting,Split,Split,-,Front,-,-
111,Planche (Full) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Full Planche,,Balancing,,Planche,Full,-,-,-
68,Squatting (Full) ⟮-⟯ [-] ⟨-⟩ ⧼Squatting⧽,Full Squatting,,Squatting,,Squatting,Full,-,-,-
357,Garland (-) ⟮-⟯ [-] ⟨-⟩ ⧼Squatting⧽,Garland,"Malasana, मालासन",Squatting,,Garland,-,-,-,-
366,Gate (-) ⟮-⟯ [-] ⟨-⟩ ⧼Standing⧽,Gate,"Parighasana, परिघासन",Standing,,Gate,-,-,-,-
26,Bent (Half) ⟮Forward⟯ [-] ⟨-⟩ ⧼Bending⧽,Half Forward Bent,Ardha Uttanasana,Bending,,Bent,Half,Forward,-,-
78,Handstand (Half) ⟮-⟯ [-] ⟨-⟩ ⧼Handstand⧽,Half Handstand,,Balancing,,Handstand,Half,-,-,-
21,Headstand (Half) ⟮-⟯ [-] ⟨-⟩ ⧼Headstand⧽,Half Headstand,"Shirshasana A, Shirshasana 1, Sirsasana A, Sirsasana 1, Elbow Headstand",Balancing,,Headstand,Half,-,-,-
136,Kneeling (Half) ⟮-⟯ [-] ⟨-⟩ ⧼Kneeling⧽,Half Kneeling,"Taking a Knee, Genuflection",Kneeling,,Kneeling,Half,-,-,-
97,Moon (Half) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Half Moon,"Ardha Chandrasana, अर्धचन्द्रासन",Bending,,Moon,Half,-,-,-
174,Standing (-) ⟮-⟯ [Hands on Hips] ⟨-⟩ ⧼Standing⧽,Hands on Hips Standing,Akimbo Standing,Standing,,,-,-,Hands on Hips,-
77,Handstand (-) ⟮-⟯ [-] ⟨-⟩ ⧼Handstand⧽,Handstand,"Yoga Handstand, Downward Facing Tree, Adho Mukha Vrikshasana, अधोमुखवृक्षासन",Balancing,,Handstand,-,-,-,-
89,Hanging (-) ⟮-⟯ [-] ⟨-⟩ ⧼Hanging⧽,Hanging,,Hanging,,Hanging,-,-,-,-
346,Pose (Hanuman's) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Hanuman's Pose,"Hanumanasana, हनुमनासन",Sitting,Pose,Pose,Hanuman's,-,-,-
22,Headstand (-) ⟮-⟯ [-] ⟨-⟩ ⧼Headstand⧽,Headstand,"Yoga Headstand, Shirshasana B, Shirshasana 2, Sirsasana B, Sirsasana 2, Kapalasana, शीर्षासन",Balancing,,Headstand,-,-,-,-
347,Head to Knee (-) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Head-to-Knee,"Head-to-Knee, Janusirsasana, जानुशीर्षासन",Bending,,Head to Knee,-,-,-,-
301,Hero (-) ⟮-⟯ [-] ⟨-⟩ ⧼Kneeling⧽,Hero,"Hero's Meditation, Virasana, Dhyana Virasana, वीरासन, ध्यान वीरासन",Kneeling,Meditation,Hero,-,-,-,-
352,Heron (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Heron,"Kraunchasana, क्रौञ्चासन",Sitting,,Heron,-,-,-,-
14,Bridge (High) ⟮-⟯ [-] ⟨-⟩ ⧼Inversion⧽,High Bridge,,Inversion,,Bridge,High,-,-,-
61,Fowler (High) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,High Fowler,"90 Degree Fowler, Long Sitting",Sitting,,Fowler,High,-,-,-
2,Lithotomy (High) ⟮Supine⟯ [-] ⟨-⟩ ⧼Lying⧽,High Lithotomy,,Lying,Medical,Lithotomy,High,Supine,-,-
55,Plank (High) ⟮-⟯ [-] ⟨-⟩ ⧼Crawling⧽,High Plank,,Crawling,,Plank,High,-,-,-
180,Hanging (-) ⟮Horizontal⟯ [-] ⟨-⟩ ⧼Hanging⧽,Horizontal Hanging,,Hanging,,Hanging,-,Horizontal,-,-
151,Leaning (-) ⟮Horizontal⟯ [-] ⟨-⟩ ⧼Leaning⧽,Horizontal Leaning,,Leaning,,Leaning,-,Horizontal,-,-
197,Suspended (-) ⟮Horizontal⟯ [-] ⟨-⟩ ⧼Suspended⧽,Horizontal Suspended,,Suspended,,Suspended,-,Horizontal,-,-
150,Thrust (-) ⟮Horizontal⟯ [-] ⟨-⟩ ⧼Leaning⧽,Horizontal Thrust,,Leaning,,Thrust,-,Horizontal,-,-
223,Plank (High) ⟮-⟯ [1 Arm] ⟨Inclined⟩ ⧼Crawling⧽,Inclined 1 Arm High Plank,,Crawling,,Plank,High,-,1 Arm,Inclined
222,Plank (Low) ⟮-⟯ [1 Arm] ⟨Inclined⟩ ⧼Crawling⧽,Inclined 1 Arm Low Plank,,Crawling,,Plank,Low,-,1 Arm,Inclined
108,Standing (-) ⟮Forward⟯ [1 Leg] ⟨-⟩ ⧼Standing⧽,Inclined 1 Leg Forward Standing,,Standing,,Standing,-,Forward,1 Leg,Inclined
166,Sitting (-) ⟮Backward⟯ [-] ⟨Inclined⟩ ⧼Sitting⧽,Inclined Backward Sitting,,Sitting,,Sitting,-,Backward,-,Inclined
272,Squatting (-) ⟮Backward⟯ [-] ⟨Inclined⟩ ⧼Squatting⧽,Inclined Backward Squatting,,Squatting,,Squatting,-,Backward,-,Inclined
269,Standing (-) ⟮Backward⟯ [-] ⟨Inclined⟩ ⧼Standing⧽,Inclined Backward Standing,,Standing,,Standing,-,Backward,-,Inclined
184,Straddling (-) ⟮Backward⟯ [-] ⟨-⟩ ⧼Straddling⧽,Inclined Backward Straddling,,Straddling,,Straddling,-,Backward,-,Inclined
